Service Name,Error Code,Error Description,Error Message
"detail, itinerary, coupon, get-payment-list",11,grn session expire,search_id session expire for grn
Hotel detail,10,In Process,Process to fetch response from queue
Hotel detail,12,queue status ( -1 ),data not found in queue after process 
Hotel detail,13,Hotel rates not found,Bunddle rates not found for hotel
,,,
Hotel Places,1,Q cannot be blank,Q cannot be blank
,2,Q should contain at least 3 characters.,Q should contain at least 3 characters.
,,,
Bulk Enquiry (Flight nd Hotel),3,User Not Found,User Not Found
,4,Error saving additional information,
,5,Error saving bulk enquiry,
,6,Type is required,
,7,User ID required,
,8,Source is required,
,9,from_date is required,
,47,to_date id required,
,44,pax_count is required,
,45,adt is required,
,46,added_ip is required,
,14,is_deleted required,
,15,destination is required,
,,,
Get Serch ID,16,dest_id is required,
,17,dest_type is requird,
,18,dest_name is required,
,19,Check In date is required,
,20,The format of Check In is invalid.,
,21,Check in date should be today or future date,
,22,Check Out date is required,
,23,The format of Check Out is invalid.,
,24,Check out date should be greater than check in date,
,25,Adults are required,
,26,Adult must be no less than 1 and no greater than 4.,
,27,Atleast 1 adult should be in room(s),
,28,Total number of Adult and child in a room should not be greater than 6.,
,29,num_rooms should be number.,
,30,child_age_field should be number,
,31,stars should be number and (Min 1 to Max 5) ,
,32,Only 4 childs are valid in one room,
,33,User group not found,
,34,Vcodes not found,
,,,
Hotel Avalability,11,grn session expire,
,35,sid could not be blank,
,36,display_group_id should be integer,
,37,Hotels not found,
,38,Princing policy rates or api fare not found,
,39,Processed fares not found after pricing policy applied,
,40,pricing policy default rule not found,
,41,Failed to apply pricing policy,
,42,Search Queue not found,
,43,component not found for api,
,,,
Hotel Details,48,hid required,
,49,vid (vcode) is required,
,10,Re-search since cache expired,
,50,Hotel details not found,
,13,Hotel's rates not found,
,,,
Fetch Cancellation Policy,51,Error to fetch Cancellation Policy details,
,52,Cancellation policy codes not found,
,81,hotel detail raw data expired,
,,,
Hotel Confirmation,53,qid is required,
,54,Invalid sid or sid expired.,
,55,Hotel raw data has been expired,
,56,Invalid User,
,57,Hotel not found in avaliable hotel list,
,58,hotel detail processed data not found,
,81,This room is no longer available,
,82,rate_key is invalid,
,83,"Invalid data, Check all provided fields",
,84,rate_key value/type is invalid,
,85,Unknown Error at Supplier’s end,
,86,Not Authorised at supplier’s end,
,87,Supplier API is currently unavailable,
,,,
Action Itinerary | traveller detail | coupon apply,59,Itinerary id cannot be blank,
,60,travellers is required,
,61,mobile number is required,
,62,mobile isd code is required,
,63,action is required,
,64,Formated mobile is required,
,65,traveler pax_type is required,
,66,salutation is required,
,67,first_name is required,
,68,first_name length should be greater than 1 charecter,
,69,last_name is required,
,70,last_name should be greater than 1 character,
,71,coupon_code is requird,
,72,"Provisional booking failed, Please try again",
,73,Something went wrong in itinerary,
,74,Itinerary not found,
,75,Coupon is Invalid or Expeired,
,76,Invalid Coupon. Coupon Rules not found,
,77,Search Replacement Parameters not found,
,78,Flight or Hotel Coupon Policy class not found,
,,,
Get NearBy Hotels,79,Please check provided data is correct,
,80,Near by hotels not found,
,,,
Hotel Suggession,81,Result Not Found,